Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type
2408,7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,0
2409,6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2,0
2410,5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,0
2411,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,0
2412,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,0
2413,6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,0
2414,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,0
2415,6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,0
2416,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,0
2417,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,0
2418,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,0
2419,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,0
2420,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,0
2421,6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,0
2422,7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,0
2423,6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,0
2424,6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,0
2425,6.7,0.23,0.25,1.6,0.036,28,143,0.99256,3.3,0.54,10.3,0
2426,6,0.28,0.27,4.1,0.046,50,147,0.99126,3.27,0.56,11.6,0
2427,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,0
2428,7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,0
2429,6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,0
2430,6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,0
2431,6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,0
2432,8.4,0.27,0.3,2.2,0.037,36,129,0.99085,2.89,0.3,11.46666667,0
2433,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,0
2434,8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,0
2435,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,0
2436,7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,0
2437,7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,0
2438,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,0
2439,6.1,0.24,0.27,11.5,0.05,51,133,0.99476,3.22,0.37,10.8,0
2440,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,0
2441,7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,0
2442,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,0
2443,6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,0
2444,6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,0
2445,6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,0
2446,7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,0
2447,7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,0
2448,6.5,0.22,0.29,7.4,0.028,16,87,0.99311,3.15,0.56,10.9,0
2449,6.2,0.24,0.27,16.8,0.04,48,129,0.99691,3.23,0.38,10.5,0
2450,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,0
2451,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,0
2452,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,0
2453,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,0
2454,6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,0
2455,5.6,0.295,0.26,1.1,0.035,40,102,0.99154,3.47,0.56,10.6,0
2456,6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,0
2457,7.7,0.26,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,0
2458,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,0
2459,8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,0
2460,6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,0
2461,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,0
2462,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,0
2463,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,0
2464,5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,0
2465,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,0
2466,6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,0
2467,6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,0
2468,5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,0
2469,7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,0
2470,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,0
2471,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,0
2472,9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,0
2473,6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,0
2474,7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,0
2475,9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,0
2476,7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8,0
2477,6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,0
2478,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,0
2479,7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,0
2480,8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,0
2481,7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,0
2482,4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,0
2483,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,0
2484,5.9,0.24,0.12,1.4,0.035,60,247,0.99358,3.34,0.44,9.6,0
2485,6.6,0.29,0.39,6.75,0.031,22,98,0.9913,3.15,0.8,12.9,0
2486,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,0
2487,6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,0
2488,4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,0
2489,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,0
2490,6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,0
2491,6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,0
2492,8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,0
2493,6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,0
2494,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,0
2495,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,0
2496,7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,0
2497,7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,0
2498,6.9,0.23,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,0
2499,6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,0
2500,7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,0
2501,7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,0
2502,7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4,0
2503,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,0
2504,6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,0
2505,7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,0
2506,4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,0
2507,6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,0
2508,6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,0
2509,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,0
2510,5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,0
2511,8,0.13,0.25,1.1,0.033,15,86,0.99044,2.98,0.39,11.2,0
2512,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,0
2513,6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,0
2514,6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,0
2515,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,0
2516,7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,0
2517,6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,0
2518,6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9,0
2519,5,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,0
2520,7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,0
2521,6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,0
2522,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,0
2523,8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,0
2524,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,0
2525,6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,0
2526,6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,0
2527,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,0
2528,7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,0
2529,6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,0
2530,6.8,0.475,0.33,3.95,0.047,16,81,0.98988,3.23,0.53,13.4,0
2531,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,0
2532,6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,0
2533,7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,0
2534,6.8,0.34,0.36,8.9,0.029,44,128,0.99318,3.28,0.35,11.95,0
2535,7.1,0.21,0.3,1.4,0.037,45,143,0.9932,3.13,0.33,9.9,0
2536,6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,0
2537,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,0
2538,6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3,0
2539,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,0
2540,6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,0
2541,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,0
2542,6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,0
2543,5.3,0.6,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13,0
2544,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,0
2545,7.4,0.16,0.32,1.4,0.065,23,140,0.99134,3.06,0.47,11.4,0
2546,7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,0
2547,6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,0
2548,6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,0
2549,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,0
2550,6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,0
2551,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,0
2552,8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,0
2553,6.2,0.25,0.39,1.3,0.051,42,135,0.9906,3.23,0.4,11.1,0
2554,5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,0
2555,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,0
2556,5.8,0.385,0.25,3.7,0.031,38,122,0.99128,3.2,0.63,11.2,0
2557,5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,0
2558,7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,0
2559,7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,0
2560,6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,0
2561,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,0
2562,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,0
2563,7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,0
2564,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,0
2565,6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,0
2566,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,0
2567,7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,0
2568,6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,0
2569,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,0
2570,7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,0
2571,6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,0
2572,6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,0
2573,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,0
2574,6.4,0.55,0.26,9.6,0.027,20,104,0.9924,3.22,0.73,13.1,0
2575,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,0
2576,7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,0
2577,6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,0
2578,6.6,0.19,0.25,1.2,0.052,34,181,0.99352,3.3,0.42,9.4,0
2579,7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,0
2580,7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,0
2581,7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,0
2582,7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,0
2583,7.5,0.38,0.5,12.8,0.042,57,184,0.9984,3.09,0.46,9,0
2584,6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,0
2585,7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,0
2586,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,0
2587,8,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9,0
2588,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,0
2589,6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,0
2590,5.7,0.37,0.3,1.1,0.029,24,88,0.98883,3.18,0.39,11.7,0
2591,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,0
2592,7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,0
2593,8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,0
2594,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,0
2595,6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,0
2596,8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,0
2597,6.8,0.32,0.33,0.7,0.027,15,66,0.9899,3.11,0.31,11.8,0
2598,5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,0
2599,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,0
2600,7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,0
2601,6.3,0.31,0.3,10,0.046,49,212,0.9962,3.74,0.55,11.9,0
2602,8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,0
2603,5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,0
2604,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,0
2605,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,0
2606,7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,0
2607,9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,0
2608,7.5,0.26,0.38,5.7,0.021,23,125,0.99338,3.13,0.62,11.1,0
2609,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,0
2610,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,0
2611,6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,0
2612,5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,0
2613,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,0
2614,6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,0
2615,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,0
2616,6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,0
2617,8.3,0.28,0.45,7.8,0.059,32,139,0.9972,3.33,0.77,11.2,0
2618,6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,0
2619,5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,0
2620,6.8,0.27,0.28,13.3,0.076,50,163,0.9979,3.03,0.38,8.6,0
2621,8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,0
2622,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,0
2623,5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3,0
2624,6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,0
2625,7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,0
2626,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,0
2627,7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,0
2628,6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,0
2629,7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,0
2630,7.2,0.27,0.31,1.2,0.031,27,80,0.98892,3.03,0.33,12.7,0
2631,6.2,0.22,0.27,1.5,0.064,20,132,0.9938,3.22,0.46,9.2,0
2632,6.3,0.37,0.51,6.3,0.048,35,146,0.9943,3.1,1.01,10.5,0
2633,7.6,0.15,0.35,4.3,0.051,23,98,0.99422,3.1,0.44,9.5,0
2634,6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,0
2635,7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,0
2636,7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,0
2637,6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4,0
2638,8,0.57,0.39,3.9,0.034,22,122,0.9917,3.29,0.67,12.8,0
2639,7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,0
2640,6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,0
2641,6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,0
2642,8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,0
2643,5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,0
2644,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,0
2645,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,0
2646,7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,0
2647,5.7,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,0
2648,6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,0
2649,6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,0
2650,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,0
2651,6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,0
2652,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,0
2653,6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,0
2654,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,0
2655,7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,0
2656,7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,0
2657,6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,0
2658,5.9,0.2,0.4,1.3,0.047,23,92,0.99232,3.2,0.45,10,0
2659,7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,0
2660,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,0
2661,8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,0
2662,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,0
2663,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,0
2664,6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,0
2665,6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,0
2666,6.5,0.22,0.28,3.7,0.059,29,151,0.99177,3.23,0.41,12.1,0
2667,7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,0
2668,5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,0
2669,6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,0
2670,7,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,0
2671,7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,0
2672,5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,0
2673,5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,0
2674,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,0
2675,6.5,0.21,0.35,5.7,0.043,47,197,0.99392,3.24,0.5,10.1,0
2676,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,0
2677,8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,0
2678,7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,0
2679,7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,0
2680,7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,0
2681,7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,0
2682,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,0
2683,5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,0
2684,8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,0
2685,5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,0
2686,6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,0
2687,7.3,0.35,0.67,8.3,0.053,10,100,0.9959,3.19,0.5,10.9,0
2688,5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,0
2689,5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,0
2690,6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5,0
2691,7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,0
2692,4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,0
2693,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,0
2694,6.6,0.29,0.73,2.2,0.027,21,92,0.99,3.12,0.48,12.4,0
2695,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,0
2696,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,0
2697,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,0
2698,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,0
2699,6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,0
2700,6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,0
2701,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,0
2702,7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9,0
2703,6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4,0
2704,6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,0
2705,6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,0
2706,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,0
2707,7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,0
2708,7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,0
2709,6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,0
2710,8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,0
2711,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,0
2712,6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,0
2713,7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2,0
2714,8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,0
